ident,type,name,latitude_deg,longitude_deg,elevation_ft,state,iata_code
KNSE,medium_airport,Whiting Field Naval Air Station - North,30.7241993,-87.02189636,199,FL,NSE
KOBE,small_airport,Okeechobee County Airport,27.26280022,-80.84980011,34,FL,OBE
KOCF,small_airport,Ocala International Airport - Jim Taylor Field,29.17259979,-82.22419739,90,FL,OCF
KOPF,medium_airport,Miami-Opa Locka Executive Airport,25.907,-80.278397,8,FL,OPF
KORL,small_airport,Orlando Executive Airport,28.5455,-81.332901,113,FL,ORL
KPAM,large_airport,Tyndall Air Force Base,30.06959915,-85.57540131,17,FL,PAM
KPBI,large_airport,Palm Beach International Airport,26.68320084,-80.09559631,19,FL,PBI
KPGD,small_airport,Charlotte County Airport,26.92020035,-81.9905014,26,FL,PGD
KPHK,small_airport,Palm Beach County Glades Airport,26.78499985,-80.69339752,16,FL,PHK
KPIE,medium_airport,St Petersburg Clearwater International Airport,27.91020012,-82.68740082,11,FL,PIE
KPMP,small_airport,Pompano Beach Airpark,26.24710083,-80.11109924,19,FL,PPM
KPNS,medium_airport,Pensacola International Airport,30.4734,-87.1866,121,FL,PNS
KRSW,large_airport,Southwest Florida International Airport,26.53619957,-81.75520325,30,FL,RSW
KSEF,small_airport,Sebring Regional Airport,27.45639992,-81.3423996,62,FL,SEF
KSFB,large_airport,Orlando Sanford International Airport,28.77759933,-81.23750305,55,FL,SFB
KSGJ,medium_airport,Northeast Florida Regional Airport,29.9592,-81.339798,10,FL,UST
KSPG,small_airport,Albert Whitted Airport,27.7651,-82.626999,7,FL,SPG
KSRQ,large_airport,Sarasota Bradenton International Airport,27.39539909,-82.55439758,30,FL,SRQ
KSUA,small_airport,Witham Field,27.18169975,-80.22109985,16,FL,SUA
KTIX,medium_airport,Space Coast Regional Airport,28.51479912,-80.79920197,34,FL,TIX
KTLH,large_airport,Tallahassee Regional Airport,30.39649963,-84.35030365,81,FL,TLH
KTMB,medium_airport,Miami Executive Airport,25.6479,-80.4328,8,FL,TMB
KTNT,small_airport,Dade Collier Training and Transition Airport,25.86179924,-80.89700317,13,FL,TNT
KTPA,large_airport,Tampa International Airport,27.97550011,-82.53320313,26,FL,TPA
KTPF,small_airport,Peter O Knight Airport,27.91559982,-82.44930267,8,FL,TPF
KVNC,small_airport,Venice Municipal Airport,27.07159996,-82.44029999,18,FL,VNC
KVPS,large_airport,Destin-Ft Walton Beach Airport,30.4832,-86.525398,87,FL,VPS
KVQQ,small_airport,Cecil Airport,30.21870041,-81.87670136,81,FL,VQQ
KVRB,medium_airport,Vero Beach Regional Airport,27.6556,-80.417901,24,FL,VRB
KX39,small_airport,Tampa North Aero Park Airport,28.22130013,-82.37449646,68,FL,KYO
